,Year,Correlation,Correlation_Values,Date,FPCPITOTLZGUSA,Inflation,Annual_Nominal_Bond,Annual_Nominal_Equity,Annual_Nominal_Riskless,Real_Annual_Bond,Real_Annual_Equity,Real_Annual_Riskless
1,1961,positive,,1961,1.070724148,0.010707241,0.013368528,0.270425408,0.022570833,0.002633094,0.256966761,0.011737911
3,1963,positive,0.199245153,1963,1.239669421,0.012396694,0.019437238,0.209200498,0.031654167,0.006954333,0.194393962,0.019021667
4,1964,positive,0.181983598,1964,1.278911565,0.012789116,0.038116714,0.162891252,0.035091667,0.025007771,0.148206703,0.022020923
5,1965,positive,0.203582203,1965,1.585169264,0.015851693,0.010312128,0.143589709,0.039454167,-0.005453124,0.12574475,0.023234173
6,1966,positive,0.175072655,1966,3.015075377,0.030150754,0.051947033,-0.087499566,0.047379167,0.021158339,-0.114206896,0.016724167
7,1967,positive,0.358357914,1967,2.772785623,0.027727856,0.010649256,0.285777113,0.041833333,-0.016617824,0.251087148,0.013724915
8,1968,positive,0.141183651,1968,4.271796153,0.042717962,0.044410956,0.142972741,0.053029167,0.001623636,0.096147552,0.009888777
9,1969,positive,0.182478162,1969,5.4623862,0.054623862,-0.005386807,-0.107913237,0.065475,-0.056902438,-0.154118548,0.010289107
10,1970,positive,0.54134834,1970,5.838255338,0.058382553,0.181695912,0.001552343,0.061391667,0.116511141,-0.053695339,0.002843124
11,1971,positive,0.460405427,1971,4.292766688,0.042927667,0.11056194,0.159920794,0.041670833,0.064850397,0.112177605,-0.001205101
12,1972,positive,0.140044245,1972,3.272278247,0.032722782,0.028643832,0.174847329,0.040233333,-0.003949705,0.137621198,0.007272572
15,1975,positive,0.10579033,1975,9.143146865,0.091431469,0.084558777,0.370948452,0.056333333,-0.006296952,0.256101268,-0.032157892
16,1976,positive,0.059679034,1976,5.744812635,0.057448126,0.129408767,0.268291557,0.049045833,0.068051225,0.199388911,-0.007945821
17,1977,positive,0.255068411,1977,6.501683995,0.06501684,0.02525995,-0.029761827,0.0527375,-0.037329823,-0.088992646,-0.011529714
18,1978,positive,0.612420392,1978,7.630963839,0.076309638,0.015055214,0.084084197,0.0735,-0.056911527,0.007223347,-0.002610437
19,1979,positive,0.673922008,1979,11.25447113,0.112544711,0.051452468,0.244012805,0.100979167,-0.054912169,0.118168819,-0.010395577
20,1980,positive,0.406683095,1980,13.54920197,0.13549202,0.057220867,0.332740922,0.113175,-0.068931486,0.173712276,-0.019654052
21,1981,positive,0.388329501,1981,10.33471534,0.103347153,0.071941158,-0.041324219,0.137975,-0.028464292,-0.131120447,0.031384362
22,1982,positive,0.664976814,1982,6.131427,0.06131427,0.287988713,0.205136496,0.1025,0.213579003,0.135513326,0.038806347
23,1983,positive,0.519853868,1983,3.212435233,0.032124352,0.069645523,0.226351295,0.086429167,0.036353343,0.188181727,0.052614604
24,1984,positive,0.306956349,1984,4.300535475,0.043005355,0.142822802,0.030423723,0.094233333,0.09570176,-0.012062864,0.049115739
25,1985,positive,0.30127707,1985,3.545644152,0.035456442,0.217072382,0.313794249,0.073625,0.175396987,0.268806872,0.036861578
26,1986,positive,0.478172256,1986,1.898047722,0.018980477,0.153259452,0.156498121,0.058970833,0.13177777,0.134956112,0.039245459
27,1987,positive,0.104925572,1987,3.664563218,0.036645632,0.031525804,0.017420823,0.054370833,-0.004938841,-0.018545208,0.017098612
28,1988,positive,0.238167553,1988,4.077741107,0.040777411,0.056057461,0.176088963,0.065725,0.014681381,0.130010077,0.023970148
29,1989,positive,0.496224797,1989,4.82700303,0.04827003,0.14572831,0.284751293,0.080745833,0.092970587,0.225591933,0.030980379
30,1990,positive,0.48345881,1990,5.39795644,0.053979564,0.096573615,-0.060819871,0.074083333,0.040412596,-0.108919982,0.019074154
31,1991,positive,0.574565084,1991,4.234963965,0.04234964,0.156005441,0.337795259,0.052766667,0.109038078,0.283441954,0.009993793
32,1992,positive,0.201905279,1992,3.028819678,0.030288197,0.071056493,0.090627192,0.033820833,0.039569798,0.058565162,0.003428785
33,1993,positive,0.14729514,1993,2.951656966,0.02951657,0.101485859,0.115944667,0.029379167,0.069905907,0.083950176,-0.000133464
34,1994,positive,0.515294311,1994,2.607441592,0.026074416,-0.033502534,-0.006287654,0.041416667,-0.058062991,-0.031539691,0.014952376
35,1995,positive,0.416128029,1995,2.805419689,0.028054197,0.179388682,0.357155626,0.054454167,0.147204773,0.3201207,0.025679551
36,1996,positive,0.151099962,1996,2.9312042,0.029312042,0.030401664,0.212478172,0.050416667,0.001058593,0.177950051,0.020503622
37,1997,positive,0.460607127,1997,2.337689937,0.023376899,0.085047011,0.30442279,0.050770833,0.060261388,0.274625986,0.026768177
38,1998,positive,0.071300944,1998,1.552279099,0.015522791,0.090962907,0.223032195,0.047133333,0.074286975,0.204337516,0.031127359
40,2000,positive,0.396305097,2000,3.376857271,0.033768573,0.126276852,-0.113035349,0.05805,0.089486449,-0.142008497,0.023488262
44,2004,positive,0.038767239,2004,2.677236693,0.026772367,0.024449221,0.130123253,0.0135625,-0.002262572,0.100656085,-0.012865429
45,2005,positive,0.005908289,2005,3.392746845,0.033927468,0.010175352,0.072980476,0.031804167,-0.022972711,0.037771516,-0.002053627
46,2006,positive,0.141336833,2006,3.225944101,0.032259441,0.033246933,0.162444661,0.047891667,0.000956631,0.126116763,0.015143698
53,2013,positive,0.013576774,2013,1.464832656,0.014648327,-0.023342853,0.317155458,0.000385208,-0.037442706,0.298139881,-0.014057204
54,2014,positive,0.335610048,2014,1.622222977,0.01622223,0.033993125,0.108420723,0.000203683,0.017487214,0.090726703,-0.015762838
62,2022,positive,0.201893074,2022,8.002799821,0.080027998,-0.096391487,-0.199001231,0.019444625,-0.16334714,-0.2583537,-0.056094262
